,primary_isbn10,title,author,publisher,weeks_on_list
1778,1451617801,ALL FALL DOWN,Jennifer Weiner,Atria,0
1779,,SHOTS FIRED,C J Box,Putnam,0
1780,044024644X,WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,Delacorte,0
1781,,ONE PLUS ONE,Jojo Moyes,Pamela Dorman/Viking,0
1782,316206865,THE CUCKOO'S CALLING,Robert Galbraith,"Mulholland/Little, Brown",0
1783,,TOWER LORD,Anthony Ryan,Ace,0
1784,,PULSE - PART FOUR,Deborah Bladon,Deborah Bladon,0
1785,345541839,FOR ALL TIME,Jude Deveraux,Ballantine,0
1786,,THE PROMISE,Ron Carr,Harlequin Mira,0
1787,1633500012,BREATHE WITH ME,Kristen Pro,Ampersand,0
1788,None,"LOVE, LAUGHTER, AND HAPPILY EVER AFTERS COLLECTION",Violet Duke,Violet Duke,0
1789,034554689X,THE ONE AND ONLY,Emily Giffin,Ballantine,0
1790,,TERMINAL CITY,Linda Fairstein,Dutton,0
1791,None,FIELD OF PREY,John Sandford,Putnam,0
1792,62134698,SECOND WATCH,J A Jance,Morrow/HarperCollins,0
1793,1476714312,STORMY PERSUASION,Johanna Lindsey,Gallery,0
1794,,GHOST SHIP,Clive Cussler and Graham Brown,Putnam,0
1795,1101618043,THE VACATIONERS,Emma Straub,Riverhead,0
1796,62132520,THE HURRICANE SISTERS,Dorothea Benton Frank,Morrow/HarperCollins,0
1797,62311107,NATCHEZ BURNING,Greg Iles,Morrow/HarperCollins,0
1798,,FACEOFF,edited  David Baldacci,Simon & Schuster,0
1799,,I WANT TO HOLD YOUR HAND,Marie Force,Berkley,0
1800,1460332962,THE MARRIAGE PACT,Linda Lael Miller,Harlequin HQN,0
1801,None,THE LINCOLN MYTH,Steve Berry,Ballantine,0
1802,1466845260,SIXTH GRAVE ON THE EDGE,Darynda Jones,St. Martin's,0
1803,1455517119,THE SKIN COLLECTOR,Jeffery Deaver,Grand Central,0
1804,,THE INVENTION OF WINGS,Sue Monk Kidd,Viking,0
1805,None,TAINT,SL Jennings,S.L. Jennings,0
1806,None,AFTER THIS NIGHT,Lauren Blakely,Lauren Blakely,0
1807,None,FOOL MOON,Jim Butcher,Roc,0
1808,None,GRAVE PERIL,Jim Butcher,Roc,0
1809,,ROBERT B. PARKER'S CHEAP SHOT,Ace Atkins,Putnam,0
1810,1101598794,MIDNIGHT CROSSROAD,Charlaine Harris,Ace,0
1811,1476749108,I'VE GOT YOU UNDER MY SKIN,Mary Higgins Clark,Simon & Schuster,0
